			398542		1.57	5	1.5664	312		39	98	85	54	42	2	0	0		0.31	0.09	0.04	0.21	0.91	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			2		3.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
8	9	8	98		0.38	1	0.0626	98		98	8	0	0	0	0	0	0		0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	98.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00			Round 8	d	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.63	2.63	1.00
			9358		1.29	3	0.6474	98		93	35	58	8	0	0	0	0		0.35	0.13	0.81	0.00	0.00	0.00	0.00	0.00			path 1 lengths	2.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			9312458		3.24	6	3.2445	98		93	31	12	24	45	58	8	0		0.35	0.83	0.48	0.23	0.54	0.81	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			8		4.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	7	8	758		0.94	2	0.2672	758		75	58	8	0	0	0	0	0		0.12	0.81	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	75.00	58.00	8.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.00	0.50	1.00	1.06	0.50	1.00	1.00
			75398		0.98	4	0.5595	758		75	53	39	98	8	0	0	0		0.12	0.13	0.35	0.38	0.00	0.00	0.00	0.00			path 1 lengths	1.06	0.50	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			75421398		2.93	7	2.9290	758		75	54	42	21	13	39	98	8		0.12	0.54	0.23	0.48	0.83	0.35	0.38	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			7		3.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
9	3	6	356		0.78	2	0.3132	356		35	56	6	0	0	0	0	0		0.16	0.63	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	35.00	56.00	6.00	0.00	0.00	0.00	0.00	0.00			Round 9	d	1.00	1.00	2.20	1.00	1.04	1.04	1.00	1.00	1.00	1.00
			39856		3.02	4	2.4131	356		39	98	85	56	6	0	0	0		0.84	0.87	0.68	0.63	0.00	0.00	0.00	0.00			path 1 lengths	2.20	1.04	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			312456		2.44	5	2.4382	356		31	12	24	45	56	6	0	0		0.17	0.62	0.31	0.71	0.63	0.00	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			3		6.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	1	6	12456		2.27	4	1.8129	1356		12	24	45	56	6	0	0	0		0.62	0.31	0.71	0.63	0.00	0.00	0.00	0.00			shortsest path	13.00	35.00	56.00	6.00	0.00	0.00	0.00	0.00				d	3.20	1.00	2.20	1.00	1.04	1.04	1.00	1.00	1.00	1.00
			1356		0.96	3	0.5731	1356		13	35	56	6	0	0	0	0		0.17	0.16	0.63	0.00	0.00	0.00	0.00	0.00			path 1 lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			139856		3.19	5	3.1884	1356		13	39	98	85	56	6	0	0		0.17	0.84	0.87	0.68	0.63	0.00	0.00	0.00			path 2  lengths	3.20	2.20	1.04	0.00	0.00	0.00	0.00	0.00														
			1		4.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
10	8	6	856		1.59	2	0.4546	856		85	56	6	0	0	0	0	0		0.77	0.82	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	85.00	56.00	6.00	0.00	0.00	0.00	0.00	0.00			Round 10	d	1.00	1.00	1.00	1.00	1.04	1.04	1.00	0.50	1.00	1.00
			89356		2.30	4	1.3117	856		89	93	35	56	6	0	0	0		0.95	0.23	0.29	0.82	0.00	0.00	0.00	0.00			path 1 lengths	0.50	1.04	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			89312456		3.84	7	3.8431	856		89	93	31	12	24	45	56	6		0.95	0.23	0.33	0.56	0.09	0.86	0.82	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			6		6.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	1	6	12456		2.33	4	1.8636	1356		12	24	45	56	6	0	0	0		0.56	0.09	0.86	0.82	0.00	0.00	0.00	0.00			shortsest path	13.00	35.00	56.00	6.00	0.00	0.00	0.00	0.00				d	3.20	1.00	2.20	1.00	1.04	1.04	1.00	1.00	1.00	1.00
			1356		1.45	3	0.8674	1356		13	35	56	6	0	0	0	0		0.33	0.29	0.82	0.00	0.00	0.00	0.00	0.00			path 1 lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			139856		3.10	5	3.1048	1356		13	39	98	85	56	6	0	0		0.33	0.23	0.95	0.77	0.82	0.00	0.00	0.00			path 2  lengths	3.20	2.20	1.04	0.00	0.00	0.00	0.00	0.00														
